22/4/1967- ||special articles||4357840||China: End of Act One?||Recently in some analyses of the latest developments in China's Cultural Revolution an attempt has been made to show that Mao Tse-tung is after all retreating. The so-called "three-way alliance" between the revolutionary rebels, the People's Liberation Army and the Party cadres is, it is suggested, really a face-saving device. A close examination of recent writings in the "Red Flag", the Party's theoretical journal, however indicates, according to the author, that this view is incorrect. The tone and mood of the writings make it clear that Mao Tse-tung is in no mood to compromise. Nor does it seem possible that he would be forced to compromise.||G. P. Deshpande
08/4/1967- ||business notes||4357794||Setback for Indal||-------------------------------------||
03/6/1967- ||weekly notes||4358002||Better Collections, More Liquidity||-------------------------------------||
29/4/1967- ||from the chair||4357876||Hindustan Lever Limited||-------------------------------------||M. R. Ramaswami
30/9/1967- ||------||41626863||Coy about Costs||-------------------------------------||
9/9/1967- ||the fourth estate||24477961||Not the Whole Story||-------------------------------------||Nireekshak
18/11/1967- ||business||24478434||Looking for Praise||-------------------------------------||
07/1/1967- ||weekly notes||4357435||Bad Start for Loops||-------------------------------------||
25/11/1967- ||business||24478347||Shortage of Plastic Raw Materials||-------------------------------------||
22/4/1967- ||commodities||4357850||Too Shocked to Move||-------------------------------------||
18/11/1967- ||------||24478415||Bickering after the Killing||-------------------------------------||
20/5/1967- ||special articles||4357963||Indian Foreign Policy, 1947-64||Indian foreign policy, the author argues, has been marked by a complete lack of ideological thinking and, in fact, has been very pragmatic. It would be a great pity therefore, he feels, if bewitched by the mechanistic models of the so-called realists, our foreign policy were to shelve its internationalist value assumptions. The first part of this article, which appeared last week, discussed the model on which India's foreign policy was based in the Nehru era and examined the strategy and tactics which this model entailed. In this, the second and concluding part, the author examines the criticisms of our foreign policy related to the issues of military alliances, non-alignment, and national security.||Deepak Lal
1/2/1967- ||focus on development||4357570||Water Management: A Neglected Aspect of Indian Agriculture||No programme of agricultural development by way of modernisation or use of new high-yielding seeds or large inputs of fertilisers can succeed without adequate supply of water and without proper water management for agricultural purposes. This must be accompanied by an appropriate ayacut development programme which is properly the responsibility of the agricultural department in the States. To get the maximum contribution from irrigation to agricultural production, we need co-ordination between the Irrigation, Rural Electrification, Co-operation and Agricultural Departments. We also need the co-operation of industry for producing supplies of agricultural inputs and of the district administration for co-ordinated action at the local levels. The agricultural scientist has also to be involved in the whole process not only for extension work, but also for evaluation, guidance and research, oriented to the needs of the climate, crops and cultivating practices of the region. Above all ways and means must be found to make the cultivator a partner and participant in both major and minor irrigation. All these are complicated problems and they need detailed study and solution on the national, State and local levels. The author, therefore, suggests the appointment of an irrigation commission that will deal with both major and minor irrigation works, review progress, evaluate performance, identify gaps and mistakes and suggest concrete policies and detailed programmes for full and scientific utilisation of the country's water resources with the accent on water management by the cultivator for the maximisation of agricultural production. Such a commission should essentially be manned by agricultural scientists and progressive agriculturists rather than merely by engineers and irrigation experts.||V. K. R. Rao
25/2/1967- ||weekly notes||4357632||Steel Costs||-------------------------------------||
10/6/1967- ||in the press||4358037||Birlas' Share of the Cake||-------------------------------------||
1/7/1967- ||around bombay markets||24478194||Indecisive Mood||-------------------------------------||
11/3/1967- ||commodities||4357696||Oilseeds Dip with Fear||-------------------------------------||
14/1/1967- ||money and banking||4357483||Tight at Last||-------------------------------------||
15/7/1967- ||around bombay markets||24478043||Curb on Advances||-------------------------------------||
29/7/1967- ||special articles||24478885||Interdependence, Feasibility and Planning: The Fourth Plan||An attempt is made in this article to examine the Draft Outline of the Fourth Plan from the point of view of its consistency and feasibility and to consider some recent suggestions in regard to the Plan. No development Plan — and the Fourth Plan is no exception to this — can be cut down proportionately or in any other manner without seriously jeopardising its consistency and its ability to attain the desired objectives. On an analysis of the resource-structure of the Indian economy it is clear that the main constraint on resources is the decision-making and implementing machinery that we have. Unquestionably, we have to choose between improving this machinery and economic stagnation or decline.||Sudhin Kumar Mukhopadhyay
08/4/1967- ||business notes||4357795||Madras Rubber||-------------------------------------||
1/7/1967- ||business notes||24482681||Texmaco||-------------------------------------||
16/9/1967- ||------||24477982||Tame End of Coal Bravado||-------------------------------------||
01/4/1967- ||weekly notes||4357756||Steel Programme Wobbles||-------------------------------------||
29/4/1967- ||weekly notes||4357860||Automobile Queues Shorten||-------------------------------------||
1/7/1967- ||business notes||24482680||Indian Copper||-------------------------------------||
1/2/1967- ||some tributes to sachin chaudhuri||4357511||Emotionally Interested in Ideas||-------------------------------------||G. L. Mehta
16/9/1967- ||business||24478005||A Poser for the Reserve Bank: Teller||-------------------------------------||
7/10/1967- ||from the chair||24478225||Poysha Industrial Company Limited||-------------------------------------||M R Ruia
17/6/1967- ||around bombay markets||4358070||Gloomy Looks||-------------------------------------||
28/10/1967- ||------||24478835||Relevance of the Sardar||-------------------------------------||
1/2/1967- ||sachin chaudhuri's writings: a selection||4357532||The Successor||-------------------------------------||Sachin Chaudhuri
14/1/1967- ||special articles||4357475||Selection of Congress Candidates. III: Claims and Counter-Claims||In this, the third part of this study, the author examines the nature of the host of claims and counter-claims which the Congress has to face in the selection of candidates. The claims may be personal, regional, socio-economic and organisational. Fortunately for the Congress, the large number of conflicting claims are aggregated into factions so that the problem of arriving at a consensus becomes one of finding bases of agreement between factions. However, when the contending factions are more or less evenly matched, the normal procedure for resolution of conflicts breaks down. Recourse has to be had in such situations to informal, extra-organisational methods to arrive at compromises so that all the factions can be retained within the party.||Ramashray Roy
18/2/1967- ||special articles||4357613||Do Excise Duties Aggravate an Inflation?||Excise duties have taken rapid strides in respect of both yield and coverage during the post-independence years. The question as to how this levy has affected the prices of excisable commodities has therefore assumed great practical significance. An attempt is made here to ascertain the relationship between changes in excise duties on different commodities and changes in their prices. [The author is grateful to V R Panchamukhi and Krishna Bharadwaj for statistical advice in writing this paper.]||N. Anjanaiah
18/2/1967- ||weekly notes||4357602||Passing of the Hump||-------------------------------------||
22/4/1967- ||business notes||4357846||Canara Bank||-------------------------------------||
11/11/1967- ||business||24478928||ICI Shows the Way||-------------------------------------||
15/4/1967- ||special articles||4357817||The Traditional versus the Modern: Case of Indian Sugar Industry||Transition from the traditional to the modern arts of production demands a hard choice. In certain cases, the conflict of interests is illusory; simple economic criteria, applied in a comprehensive manner, are adequate to resolve the conflict. The periodic struggle for sugarcane between sugar mills on the one hand and gur and khandsari producers on the other hand-which is being witnessed in the current sugar season too-is avoidable if a rational and dynamic view is taken of the whole problem.||B. D. Dhawan
29/7/1967- ||------||24478890||Indian Oil Blending Limited: Speech of the Chairman, Shri Kamaljit Singh||-------------------------------------||Kamaljit Singh
07/1/1967- ||special articles||4357446||Selection of Congress Candidates. II: Pressures and Counter-Pressures||In the first part of this article, which appeared last week, the author discussed the formal criteria and procedures adopted by the Congress for selecting the candidates. In this, the second part, he examines the actual working of the procedural arrangements and discusses the considerations that really swayed the local level party activists in making their recommendations. The local level activists are swayed to a very large extent by conditions prevailing in the particular constituencies. Their concern with local conditions leads them to prefer candidates who in their opinion can effectively carry the constituency or district for the Congress. To the extent local leaders are swayed by such considerations, they are strongly impelled to violate or bypass the formal criteria laid down by the top leadership.||Ramashray Roy
