# articles	Years Active	Author	Discipline	Academia URL	Alternate URL		
24	1988-2019	TUSHAAR SHAH		https://pintu.academia.edu/tusharshah			
21	1989-2014	RAMASWAMY R IYER			https://www.cprindia.org/people/ramaswamy-r-iyer	Water Management, Dams	
19	1975-2000	B D DHAWAN				Agricultural and Food Policy, Farm Management	
19	1984-2015	ASHISH KOTHARI		https://independent.academia.edu/AshishKothari			
17	1993-2017	V RATNA REDDY		https://independent.academia.edu/VRatnaReddy			
12	1997-2018	MIHIR SHAH		https://independent.academia.edu/MihirShah59			
11	2000-2017	NAVROZ K DUBASH		https://cprindia.academia.edu/NavrozDubash			
10	1969-2000	N S JODHA			https://www.researchgate.net/scientific-contributions/2106499017-NS-Jodha	Environmental science, agricultural economics	
10	1987-2016	JAYANTA BANDYOPADHYAY		https://independent.academia.edu/JayantaBandyopadhyay			
10	1988-2019	K J JOY			https://www.amazon.com/Indias-Water-Futures-Emergent-Pathways/dp/0815384041	Water Management, Water Policy	
10	2008-2015	KANCHI KOHLI		https://independent.academia.edu/KanchiKohli			
9	1983-2002	RAMACHANDRA GUHA			https://en.wikipedia.org/wiki/Ramachandra_Guha	environmental history, political history, social history, contemporary history, economics	
9	1987-1996	ARUN GHOSH		https://florida.academia.edu/ArunGhosh			
9	1989-2014	KANCHAN CHOPRA		https://independent.academia.edu/ChopraKanchan			
9	2004-2018	M DINESH KUMAR		https://vit.academia.edu/DineshKumarM			
9	2009-2019	T JAYARAMAN		https://mssrf.academia.edu/TJayaraman			
8	1997-2018	DEV NATHAN			http://www.ihdindia.org/Dev_Nathan.html	labour, indigenour people	
8	1997-2007	AMITA SHAH			https://conflicts.indiawaterportal.org/node/149	rural economy, forestry	
7	1982-1999	VANDANA SHIVA			https://www.academia.edu/Documents/in/Vandana_Shiva	ecological economics, agriculture	
7	2000-2007	VINISH KATHURIA			http://www.som.iitb.ac.in/?p=989	renewable energy, economics of regulation	
7	2002-2017	SHARACHCHANDRA LELE		https://atree.academia.edu/SharadLele			
7	2004-2017	M V RAMANA		https://ubc.academia.edu/MVRamana			
7	2008-2017	MUKUL SANWAL			https://www.researchgate.net/scientific-contributions/2053281563-Mukul-Sanwal	climate change, 	
6	1981-2005	NIRANJAN PANT		https://independent.academia.edu/NiranjanPant			
6	1985-2016	MADHAV GADGIL			http://naasindia.org/detail.php?id=129	Ecology	
6	1986-2016	V T PADMANABHAN		https://independent.academia.edu/PadmanabhanVt			
6	1986-1998	ASHOK K MITRA			https://en.wikipedia.org/wiki/Ashok_Mitra	Economics, Politics	
6	1987-2006	K BALAGOPAL			https://en.wikipedia.org/wiki/K._Balagopal	Human Rights, Civil Liberties	
6	1993-2018	P K JOSHI		https://independent.academia.edu/PKJoshi2			
6	1993-2004	MUKUL					
6	1995-2017	AJIT MENON		https://independent.academia.edu/MenonAjit			
6	1995-2009	GAUTAM NAVLAKHA			https://en.wikipedia.org/wiki/Gautam_Navlakha	Human Rights, Civil Liberties	
6	2001-2015	PHILIPPE CULLET		https://soas.academia.edu/PhilippeCullet			
6	2006-2011	SUHAS PARANJAPE		https://independent.academia.edu/SuhasParanjape			water resource management, participative ecosystems
6	2007-2015	MANJU MENON		https://independent.academia.edu/ManjuMenon			
6	2009-2015	MARTIN KHOR			https://en.wikipedia.org/wiki/Martin_Khor	international Climate Policy, Globalization	
6	2013-2019	NEHA SINHA		https://oxford.academia.edu/NehaSinha			
5	1976-1982	ROBERT WADE			https://www.lse.ac.uk/international-development/people/robert-wade	World Bank, Globalization, Environmental Politics	
5	1989-2013	GOPAL K KADEKODI		https://independent.academia.edu/GopalKadekodi		forest management, environmental economics, developmental economics	
5	1990-2015	ANTONETTE D'SA			https://www.researchgate.net/scientific-contributions/2011351811-Antonette-DSa	Indrustrial Engineering, Resource Planning	
5	1991-2006	MARCUS MOENCH			https://www.researchgate.net/profile/Marcus_Moench	Climate change economics, sustainable development	
5	1994-2012	JYOTI PARIKH		https://independent.academia.edu/JyotiKParikh			
5	1994-2009	RAMESH CHAND		https://banaras.academia.edu/RameshChand		high yielding wheat, pathogen interaction	
5	1994-2018	AMITA BAVISKAR			https://ashoka.edu.in/faculty#!/amita-baviskar-1620	Sociology, Urban Planning, Dams, Development Studies 	
5	1995-2012	BARBARA HARRISS-WHITE		https://independent.academia.edu/barbaraharrisswhite	https://en.wikipedia.org/wiki/Barbara_Harriss-White	agricultural economics, development economics	
5	1997-2018	GOVIND KELKAR			https://csdindia.org/people/faculty/govind-kelkar/	gender, rural studies	
5	1997-2015	C RAMACHANDRAIAH			https://cess.ac.in/people/faculty/faculty-details/?id=2	urban transportation, urban environment	
5	1999-2018	RAKESH AGRAWAL		https://iimkashipur.academia.edu/RAKESHAGRAWAL			
5	2000-2005	VIDEH UPADHYAY			https://www.wwfindia.org/?15921/Remembering-Videh-Upadhyay	environmental law, water laws	
5	2001-2012	KUNTALA LAHIRI-DUTT		https://anu-au.academia.edu/KuntalaLahiriDutt			
5	2002-2012	SUMANTA BANERJEE					
5	2004-2016	ADITI MUKHERJI			https://www.researchgate.net/profile/Aditi_Mukherji2	human geography, water policy, sustainability 	
5	2004-2012	MUKUL SHARMA		https://ashokauniversity.academia.edu/MukulSharma			
