| 1966 | 427 | 0 | 0 |
| 1967 | 1092 | 0 | 0 |
| 1968 | 1194 | 0 | 1 |
| 1969 | 1193 | 2 | 1 |
| 1970 | 1227 | 0 | 4 |
| 1971 | 1247 | 1 | 6 |
| 1972 | 1128 | 0 | 2 |
| 1973 | 985 | 0 | 3 |
| 1974 | 856 | 1 | 1 |
| 1975 | 736 | 1 | 4 |
| 1976 | 746 | 1 | 2 |
| 1977 | 890 | 0 | 1 |
| 1978 | 799 | 0 | 1 |
| 1979 | 780 | 1 | 0 |
| 1980 | 820 | 2 | 1 |
| 1981 | 869 | 1 | 1 |
| 1982 | 920 | 0 | 6 |
| 1983 | 936 | 1 | 4 |
| 1984 | 901 | 2 | 3 |
| 1985 | 967 | 1 | 7 |
| 1986 | 1062 | 2 | 8 |
| 1987 | 1117 | 5 | 10 |
| 1988 | 1207 | 5 | 9 |
| 1989 | 1233 | 4 | 8 |
| 1990 | 1084 | 1 | 16 |
| 1991 | 1137 | 1 | 8 |
| 1992 | 1060 | 5 | 11 |
| 1993 | 1068 | 1 | 7 |
| 1994 | 1299 | 7 | 12 |
| 1995 | 1113 | 5 | 16 |
| 1996 | 1025 | 5 | 16 |
| 1997 | 1010 | 4 | 15 |
| 1998 | 995 | 4 | 12 |
| 1999 | 979 | 5 | 12 |
| 2000 | 870 | 5 | 26 |
| 2001 | 930 | 4 | 15 |
| 2002 | 948 | 8 | 23 |
| 2003 | 929 | 6 | 25 |
| 2004 | 1023 | 5 | 16 |
| 2005 | 1053 | 9 | 19 |
| 2006 | 891 | 10 | 28 |
| 2007 | 761 | 3 | 17 |
| 2008 | 754 | 2 | 21 |
| 2009 | 801 | 2 | 21 |
| 2010 | 896 | 2 | 22 |
| 2011 | 828 | 4 | 22 |
| 2012 | 824 | 3 | 20 |
| 2013 | 850 | 3 | 18 |
| 2014 | 1017 | 11 | 22 |
| 2015 | 1127 | 6 | 30 |
| 2016 | 1079 | 7 | 25 |
| 2017 | 1120 | 9 | 25 |
| 2018 | 948 | 10 | 23 |
| 2019 | 885 | 7 | 21 |
| 2020 | 1 | 0 | 0 |
