13/4/1985- ||special articles||4374280||On Some Aspects of the Strategy of Growth in India||This paper identifies four major components of the strategy of growth that is taking shape in India under the new regime: (a) district-wise industrialisation; (b) modernisation and technological advancement that is prone to the Ricardo effect; (c) recourse to import as a device for instilling a competitive spirit; and (d) regeneration and optimal use of land resources. It argues the case for a State Public Sector to initiate small and medium scale industries. It suggests the criterion of 'forward-biased labour-intensity' to counter the Ricardo effect. It pleads for removal of barriers to the growth of small-scale entrepreneurs. Some 60 million hectares of land, equivalent to one-fifth of the total territory, or two-fifths of the net cropped area, is under pastures, culturable waste, fallow, and the like. Bulk of this land can be developed, within the limits of available technology, into farms or forests. Part of it may be mobilised to settle landless labourers. This paper gives a simple computable criterion for land allocation, under conditions of external economies of forests or similar ecological factors.||Ranjit Sau
20/4/1985- ||------||4374316||Special Statistics: Finances of Government of India||-------------------------------------||
04/5/1985- ||international affiars||4374358||Memories of Bandung||-------------------------------------||G. P. D.
26/1/1985- ||------||4373994||Pre-Emptive Withdrawal||-------------------------------------||
12/1/1985- ||international affairs||4373954||American Power and the Mandarins||-------------------------------------||G. P. D.
26/10/1985- ||perspectives||4374969||Question of a Transitional Government in Marxist Terminology||-------------------------------------||Ajit Roy
28/9/1985- ||business||4374854||Casual Approach to Oilcake Export||-------------------------------------||
01/6/1985- ||business||4374457||Bogus Members and Rigged Elections||-------------------------------------||
09/3/1985- ||from our correspondents||4374153||Abolition of Village Officers: Revolutionary on the Surface||-------------------------------------||P. Eashvaraiah
06/4/1985- ||------||4374235||Changing Roles in Lebanon||-------------------------------------||
04/5/1985- ||business||4374353||Export Market Going Abegging||-------------------------------------||
02/2/1985- ||business||4374022||Soybean Processing: Ill Conceived Expansion||-------------------------------------||
07/12/1985- ||from our correspondents||4375080||Terrorist Act against Democratic Rights Activist: Case of K Balagopal||-------------------------------------||P. A. Sebastian
04/5/1985- ||business||4374352||Drug Policy in Limbo||-------------------------------------||
21/12/1985-28/12/1985||from our correspondents||4375136||Upsurge in Mass Lynchings||-------------------------------------||Anjan Ghosh
10/8/1985- ||------||4374672||Use and Abuse||-------------------------------------||
24/8/1985- ||official paper||4374743||Report on Black Money||-------------------------------------||J. C. Sandesara
